2023-08-13T1739,my_data,10,10,20,10,37.49999999999999,20.83333333333333,43.75,18.75,12.952040791511536,4.317346930503845
2023-08-13T1851,my_data,10,10,20,10,75.0,8.333333333333332,68.75,18.75,7.195578217506409,4.317346930503845
2023-08-13T2019,my_data,10,10,20,10,75.0,0.0,66.66666666666666,0.0,7.675283432006836,0.0
2023-08-13T2022,my_data,10,10,20,10,62.5,0.0,50.0,0.0,11.512925148010254,0.0
2023-08-13T2022,my_data,10,10,20,10,37.5,0.0,50.0,0.0,11.512925148010254,0.0
2023-08-13T2028,my_data,10,10,20,10,100.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-13T2028,my_data,10,10,20,10,40.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-19T1401,my_data,10,10,20,10,55.55555555555556,0.0,50.0,0.0,11.512925148010254,0.0
2023-08-19T1402,my_data,10,10,20,10,88.8888888888889,0.0,50.0,0.0,11.512925148010254,0.0
2023-08-19T1417,my_data,10,10,20,10,55.55555555555556,0.0,33.33333333333333,0.0,15.350566864013672,0.0
2023-08-19T1420,my_data,10,10,20,10,66.66666666666667,0.0,66.66666666666666,0.0,7.675283432006836,0.0
2023-08-19T2116,my_data,10,10,20,10,20.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-19T2116,my_data,10,10,20,10,20.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-19T2159,my_data,10,10,20,10,100.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-19T2200,my_data,10,10,20,10,0.0,0.0,83.33333333333334,0.0,3.837641716003418,0.0
2023-08-21T2005,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6069447636604309,0.0
2023-08-21T2009,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5811782896518707,0.0
2023-08-21T2017,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6955177307128906,0.0
2023-08-21T2019,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7038013100624084,0.0
2023-08-21T2019,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6447221755981445,0.0
2023-08-21T2019,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6548372685909272,0.0
2023-08-21T2020,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6459861278533936,0.0
2023-08-21T2020,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.3906620591878891,0.0
2023-08-21T2022,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6945518255233765,0.0
2023-08-21T2027,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6392620007197062,0.0
2023-08-21T2031,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7321901520093282,0.0
2023-08-21T2033,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.670938511689504,0.0
2023-08-21T2037,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5995175242424011,0.0
2023-08-21T2043,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6355353593826294,0.0
2023-08-21T2048,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6400827318429947,0.0
2023-08-21T2053,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6235864758491516,0.0
2023-08-21T2057,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6166699528694153,0.0
2023-08-21T2101,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7791062146425247,0.0
2023-08-21T2105,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6571298837661743,0.0
2023-08-21T2159,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5890993177890778,0.0
2023-08-21T2159,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5699800699949265,0.0
2023-08-21T2200,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5913949906826019,0.0
2023-08-21T2200,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.33358847796916963,0.0
2023-08-21T2200,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5174908220767975,0.0
2023-08-21T2201,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.45118180513381956,0.0
2023-08-21T2201,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7124649226665497,0.0
2023-08-21T2201,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.599752914905548,0.0
2023-08-21T2252,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.409222412109375,0.0
2023-08-21T2252,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6621127843856811,0.0
2023-08-21T2253,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7060852527618409,0.0
2023-08-21T2253,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.8468056201934815,0.0
2023-08-21T2254,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.648501992225647,0.0
2023-08-21T2254,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7235651612281799,0.0
2023-08-21T2255,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5510352998971939,0.0
2023-08-21T2256,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.4381125792860985,0.0
2023-08-21T2256,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.45690402388572693,0.0
2023-08-21T2257,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.522867314517498,0.0
2023-08-21T2300,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6054513975977898,0.0
2023-08-21T2301,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.606035627424717,0.0
2023-08-21T2305,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.6957576498389244,0.0
2023-08-21T2309,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.723698079586029,0.0
2023-08-21T2315,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5610428849856058,0.0
2023-08-21T2316,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.379088173309962,0.0
2023-08-21T2316,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.7125072479248047,0.0
2023-08-21T2317,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.38707871238390607,0.0
2023-08-21T2317,my_data,10,10,20,10,0.0,0.0,0.0,0.0,0.5009274482727051,0.0
